CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
BANEG-0014,"8(14), (5-beta)-Cholenic acid-3-alpha, 12-alpha-diol",1,[M-H]-,BANEG-0014.1,584.1,9.735,389.2697332,389.2638942,389.2755723,549,619.2,390.2770097,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,XWJTYEGVQBFZHI-IMPNNSMHSA-N,
BANEG-0015,5-beta-Cholenic acid-7-alpha-ol-3-one,1,[M-H]-,BANEG-0015.1,588.9,9.815,389.2697332,389.2638942,389.2755723,555,622.8,390.2770097,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,KNVADAPHVNKTEP-CIGXQKLNSA-N,
BANEG-0016,5-alpha-Cholanic acid-3-alpha-ol-6-one,1,[M-H]-,BANEG-0016.1,504.3,8.405,389.2697332,389.2638942,389.2755723,469.2,539.4,390.2770097,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,JWZBXKZZDYMDCJ-UHFFFAOYSA-N,
BANEG-0017,3-alpha-Hydroxy-7-Ketolithocholic acid,1,[M-H]-,BANEG-0017.1,514.2,8.57,389.2697332,389.2638942,389.2755723,479.7,548.7,390.2770097,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,DXOCDBGWDZAYRQ-AURDAFMXSA-N,
BANEG-0018,3-alpha-Hydroxy-12-Ketolithocholic acid,1,[M-H]-,BANEG-0018.1,533.7,8.895,389.2697332,389.2638942,389.2755723,498.6,568.8,390.2770097,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,CVNYHSDFZXHMMJ-VPUMZWJWSA-N,
BANEG-0019,Murocholic acid,1,[M-H]-,BANEG-0019.1,438.9,7.315,391.2853833,391.2795141,391.2912526,404.4,473.4,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000811,,,,,,,5283821,,,DGABKXLVXPYZII-PLYQRAMGSA-N,
BANEG-0020,"5-beta-Cholanic acid-7-alpha, 12-alpha-diol",1,[M-H]-,BANEG-0020.1,637.2,10.62,391.2853833,391.2795141,391.2912526,607.2,667.2,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002536,,,,,,,,,,ZHCAAZIHTDCFJX-QLEQUTGBSA-N,
BANEG-0021,"5-beta-Cholanic acid-3-beta, 12-alpha-diol",1,[M-H]-,BANEG-0021.1,534.6,8.91,391.2853833,391.2795141,391.2912526,499.2,570,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,KXGVEGMKQFWNSR-OFYXWCICSA-N,
BANEG-0022,Deoxycholic acid,1,[M-H]-,BANEG-0022.1,622.5,10.375,391.2853833,391.2795141,391.2912526,592.5,652.5,392.2926598,C24H40O4,0.1643,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",HMDB0000626,Sterols [ST],Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",LMST04010040,C04483,193196,222528,,"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1",KXGVEGMKQFWNSR-LLQZFEROSA-N,
BANEG-0023,Chenodeoxycholic acid,1,[M-H]-,BANEG-0023.1,615.6,10.26,391.2853833,391.2795141,391.2912526,585.6,645.6,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000518,,,,,,,,,,RUDATBOHQWOJDD-BSWAIDMHSA-N,
